"","Fish","Length_mm","n_surveys","homerange_km","cumuldist_km","winter22winter23_km","spring22spring23_km","summer21summer22_km","summer22summer23_km","summer21summer23_km","winter_section","spring_section","summer_section","winter_designation","spring_designation","summer_designation","mn_upstream_km","mn_winter_upstream_km","mn_spring_upstream_km","mn_summer_upstream_km"
"65",65,307,13,10.9575608118217,15.3640932614306,0.538990236433916,0.39982506496212,9.63282990610451,0.583619374292872,10.0141898828892,"Upper","Upper","Upper","Mainstem/Trib","Mainstem","Mainstem/Trib",440.339830902327,441.128451402236,440.861277903893,437.876262673
"66",66,298,12,12.079098423673,27.1846107566009,0.459025423028965,11.5665538434512,1.10528944663296,1.29410149443769,0.188812047804731,"Upper","Upper","Upper","Mainstem","Mainstem","Mainstem",426.770536981205,428.543575871509,422.681859239007,428.358676790586
"67",67,353,13,1.3833686646171,6.42249026089591,0.0999999999999836,0.744629980283546,1.169857180525,0.43366136073202,0.736195819792978,"Upper","Upper","Upper","Mainstem","Mainstem","Mainstem",428.08305955246,427.619433179711,428.041748169853,428.028818256756
"68",68,301,7,34.7948249053485,34.7948249053485,NA,NA,34.7948249053485,NA,NA,"Upper","Headwaters","Headwaters/Upper","Mainstem","Headwaters","Headwaters/Mainstem",449.621564156608,445.553457286402,458.145921368772,446.061581709537
"69",69,298,8,17.0691057833172,40.2780353721073,NA,NA,16.3829764990563,NA,NA,"Upper","Upper","Upper","Mainstem","Mainstem","Mainstem/Trib",436.313649118931,438.91865422481,427.558879810229,436.411057126592
"70",70,305,15,2.82283503197171,11.1133948685423,0.550135697352758,0,0,0,0,"Upper","Upper","Upper","Mainstem","Mainstem","Mainstem",428.04632446847,427.844501028387,428.465136160733,428.219568877063
"71",71,306,10,47.6216194021305,86.2781257875955,1.00779264318163,30.5251634008082,19.8473705098712,NA,NA,"Upper","Upper","Upper","Mainstem","Mainstem/Trib","Mainstem/Trib",430.046148873478,430.69425341207,423.533023297598,433.493653782654
"72",72,315,11,68.3954654276319,216.077548909825,0.47856982590137,4.87261046025428,26.3222166625934,26.4884495888678,0.166232926274313,"Middle","Upper","Upper","Mainstem","Trib","Mainstem/Trib",411.866310510317,387.352278535193,419.617811358535,423.356530565619
"73",73,298,2,79.8160567300903,79.8160567300903,NA,NA,NA,NA,NA,"Middle",NA,"Upper","Mainstem",NA,"Mainstem",374.729840955134,334.821812590089,NA,414.637869320179
"74",74,338,2,11.1315657566991,11.1315657566991,NA,NA,11.1315657566991,NA,NA,NA,NA,"Middle/Upper",NA,NA,"Mainstem",402.769225837272,NA,NA,402.769225837272
"75",75,310,12,35.2313635036222,97.3537115011096,NA,14.0009329033867,0.236503910374435,0.473633398246162,0.237129487871725,"Upper","Upper","Upper","Mainstem","Trib","Mainstem/Trib",412.851202073049,415.479759074349,428.222984411623,408.449841769419
"76",76,318,12,1.1960533328023,3.70965899091161,0.327462361027036,0.139949659548158,0.976922044962903,0.159895948449561,0.817026096513342,"Upper","Upper","Upper","Mainstem","Mainstem","Mainstem",409.111396508541,409.148199580071,409.181161180788,408.932991429447
"77",77,295,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper",NA,NA,"Mainstem",408.335008715621,NA,NA,408.335008715621
"78",78,305,5,3.01164372427887,3.25199465463139,NA,NA,NA,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",403.386722020561,403.102432481973,402.531971363101,405.54361508738
"79",79,302,7,6.27219347685943,7.22193709052989,6.05013044808311,NA,NA,NA,NA,"Middle/Upper","Upper","Middle","Mainstem","Mainstem","Mainstem",407.701463390615,408.08512578408,411.110191008121,405.54361508738
"80",80,293,3,7.5488109441488,7.5488109441488,NA,NA,NA,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",402.023463531237,402.531971363101,397.994804143231,405.54361508738
"81",81,313,13,28.3456999290279,110.314153945495,0.663842752553235,1.40572605686462,0.158743638389171,0.258743638389191,0.10000000000002,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",382.171900255112,373.680841449909,370.648444187474,398.014385356027
"82",82,314,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Middle",NA,NA,"Mainstem",397.994804143231,NA,NA,397.994804143231
"83",83,314,9,2.93467779241408,5.75771570512537,NA,NA,0.367263988950992,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",398.786022845097,400.562217946694,397.894804143231,397.811172148755
"84",84,335,12,14.8608682113217,56.6082384388184,NA,0.107245465761023,0.601530471206743,0.343018365570166,0.258512105636577,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",393.593743478778,388.764609185315,403.048809749093,392.1539760148
"85",85,301,13,134.168377893925,561.551958694461,NA,6.48947640311559,3.31573486093594,0.10103037211753,3.21470448881841,"Lower","Lower","Middle","Mainstem","Mainstem","Mainstem",326.376317599744,283.30458438832,265.044687682301,394.617469990332
"86",86,300,13,20.5119504554327,24.6092674346552,1.05898977940829,0.137541844530564,19.4697266819972,0.0601097654865844,19.4096169165106,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",374.508586840938,373.560534846941,372.962269034971,379.480875674245
"87",87,338,11,14.3968913388547,46.2317436584797,0.228647031986852,NA,0,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",385.045966801991,378.821153714615,389.708341320179,389.808341320179
"88",88,326,13,1.56677704952705,3.83131216256271,1.05201868305985,0.563149385627519,0.800623305503352,0.285864939036146,0.514758366467206,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",389.07238924418,388.767573612181,389.089292707489,389.369880762855
"89",89,317,14,12.9130286367476,26.3282058526062,12.3390909867741,0.287993799325344,0.900623305503326,0.385864939036121,0.514758366467206,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",391.905415662703,395.54041289369,389.560168387127,389.336547429522
"91",91,340,10,50.4475253520195,100.508446672236,NA,NA,3.2677142740085,0.0757473348263302,3.34346160883483,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem/Trib",359.070266243,340.372525841576,340.372525841576,387.44773766329
"92",92,333,7,22.922633551764,47.9072936348125,NA,NA,6.19508360888902,NA,NA,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem/Trib",377.674419780115,378.935477230608,368.516462426134,388.341554173453
"93",93,322,9,57.11550191995,60.8230809874508,0.421257211034928,NA,55.8171780673654,NA,NA,"Upper","Upper","Middle/Upper","Mainstem/Trib","Trib","Mainstem",435.057624642056,441.069584889536,441.241098253795,413.152601402692
"94",94,300,14,73.9579462985691,195.03322824692,0.28840288464495,0.247631189869648,16.5086303363025,0.874627842356087,17.3832581786586,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem/Trib",380.784929142333,384.424419559555,371.897086757975,396.541308540663
"95",95,340,13,17.5178310790755,34.3290834883268,NA,16.6576866508296,5.79222628058168,1.05806933387925,4.73415694670243,"Middle","Middle","Middle","Mainstem","Mainstem","Mainstem",382.365500234125,380.547703957003,378.190098351148,385.029561750755
"96",96,314,4,6.41703713233539,8.29059473865546,NA,NA,NA,NA,NA,"Middle",NA,"Middle","Mainstem",NA,"Mainstem",379.473451588003,381.103043802092,NA,381.520767341661
